Date,Max_Temp_C,Min_Temp_C
2015-11-27,-1.14,-6.24
2015-11-28,-0.61,-7.37
2015-11-29,1.43,-2.97
2015-11-30,0.92,-2.25
2015-12-01,-0.33,-7.78
2015-12-02,1.14,-7.21
2015-12-03,2.43,-7.62
2015-12-04,5.96,-7.51
2015-12-05,6.29,-1.61
2015-12-06,5.72,-1.19
2015-12-07,8.08,-2.65
2015-12-08,7.01,-0.26
2015-12-09,9.14,1.07
2015-12-10,13.09,2.27
2015-12-11,8.0,-0.23
2015-12-12,7.39,2.94
2015-12-13,9.49,4.99
2015-12-14,5.3,-1.2
2015-12-15,4.2,0.51
2015-12-16,5.07,-3.62
2015-12-17,0.74,-6.04
2015-12-18,-0.24,-9.22
2015-12-19,1.37,-11.06
2015-12-20,5.58,-1.31
2015-12-21,2.08,-4.07
2015-12-22,3.2,-4.11
2015-12-23,3.52,-2.31
2015-12-24,0.15,-4.93
2015-12-25,0.52,-4.57
2015-12-26,1.17,-1.94
2015-12-27,-1.62,-8.77
2015-12-28,-3.61,-9.01
2015-12-29,-4.04,-9.29
2015-12-30,-3.13,-8.37
2015-12-31,-5.61,-14.88
2016-01-01,-0.94,-12.17
2016-01-02,-0.46,-14.0
2016-01-03,-3.48,-14.39
2016-01-04,-5.33,-16.49
2016-01-05,0.28,-10.04
2016-01-06,0.35,-4.25
2016-01-07,0.85,-2.62
2016-01-08,0.86,-7.37
2016-01-09,-8.57,-22.7
2016-01-10,-15.84,-26.38
2016-01-11,-7.43,-14.96
2016-01-12,-11.4,-21.08
2016-01-13,0.18,-19.48
2016-01-14,3.23,-5.25
2016-01-15,-4.83,-15.47
2016-01-16,-11.75,-19.77
2016-01-17,-17.63,-27.81
2016-01-18,-14.34,-20.3
2016-01-19,-10.4,-16.1
2016-01-20,-3.24,-16.12
2016-01-21,-2.82,-9.98
2016-01-22,-5.44,-10.73
2016-01-23,-4.44,-12.14
2016-01-24,-0.06,-7.13
2016-01-25,-1.27,-4.87
2016-01-26,-1.9,-9.38
2016-01-27,2.16,-12.46
2016-01-28,1.77,-7.55
2016-01-29,5.27,-8.65
2016-01-30,5.45,-1.25
2016-01-31,7.13,-1.97
2016-02-01,7.76,-2.83
2016-02-02,2.14,-1.49
2016-02-03,-1.96,-11.47
2016-02-04,0.65,-11.3
2016-02-05,-3.04,-10.97
2016-02-06,3.04,-6.66
2016-02-07,4.9,-3.09
2016-02-08,-4.19,-10.46
2016-02-09,-6.69,-13.57
2016-02-10,-6.91,-13.91
2016-02-11,-6.15,-15.88
2016-02-12,-6.4,-16.64
2016-02-13,-8.78,-17.06
2016-02-14,-4.2,-10.14
2016-02-15,6.04,-6.77
2016-02-16,3.76,-2.85
2016-02-17,3.65,-3.47
2016-02-18,9.1,-2.42
2016-02-19,14.54,4.26
2016-02-20,11.0,-1.42
2016-02-21,6.64,-2.42
2016-02-22,6.13,-2.57
2016-02-23,7.41,-2.4
2016-02-24,4.33,-3.71
2016-02-25,2.99,-4.31
2016-02-26,7.56,-4.0
2016-02-27,16.95,-2.07
2016-02-28,10.03,-3.1
2016-02-29,6.03,-3.32
2016-03-01,-2.57,-7.0
2016-03-02,1.65,-6.97
2016-03-03,2.93,-3.16
2016-03-04,5.49,-4.06
2016-03-05,7.26,-2.38
2016-03-06,14.89,-1.49
2016-03-07,19.49,8.29
2016-03-08,20.52,6.69
2016-03-09,11.46,2.11
2016-03-10,13.49,0.0
2016-03-11,18.8,0.18
2016-03-12,12.78,1.33
2016-03-13,12.64,6.97
2016-03-14,19.84,7.47
2016-03-15,17.87,5.03
2016-03-16,12.84,0.66
2016-03-17,11.95,-1.94
2016-03-18,5.85,-3.85
2016-03-19,1.86,-2.16
2016-03-20,7.23,-3.31
2016-03-21,13.58,-3.1
2016-03-22,14.85,6.12
2016-03-23,8.85,-0.09
2016-03-24,4.44,-3.43
2016-03-25,10.46,-4.48
2016-03-26,9.47,1.12
2016-03-27,10.41,-1.3
2016-03-28,15.24,-2.78
2016-03-29,16.4,1.46
2016-03-30,17.4,7.27
2016-03-31,11.39,3.74
2016-04-01,8.16,-1.88
2016-04-02,6.48,-2.49
2016-04-03,23.31,-1.24
2016-04-04,9.93,-1.32
2016-04-05,10.04,-0.59
2016-04-06,13.77,1.27
2016-04-07,8.83,-0.5
2016-04-08,6.7,-4.89
2016-04-09,8.23,-6.14
2016-04-10,16.6,3.8
2016-04-11,8.65,-2.36
2016-04-12,13.89,-3.63
2016-04-13,20.15,1.82
2016-04-14,20.93,5.11
2016-04-15,22.7,6.51
2016-04-16,23.96,11.37
2016-04-17,23.86,12.72
2016-04-18,20.71,12.96
2016-04-19,20.03,9.76
2016-04-20,18.38,7.94
2016-04-21,17.56,6.91
2016-04-22,18.62,8.2
2016-04-23,22.35,6.57
2016-04-24,25.96,12.37
2016-04-25,22.12,11.23
2016-04-26,20.52,8.54
2016-04-27,13.02,6.15
2016-04-28,15.77,5.76
2016-04-29,14.27,4.44
2016-04-30,10.74,5.88
2016-05-01,10.29,5.32
2016-05-02,17.38,3.64
2016-05-03,19.85,4.84
2016-05-04,18.26,6.23
2016-05-05,21.55,3.75
2016-05-06,27.57,9.22
2016-05-07,19.38,11.55
2016-05-08,21.46,10.3
2016-05-09,19.61,12.29
