Date,Max_Temp_C,Min_Temp_C
2015-11-27,-0.62,-4.46
2015-11-28,-0.9,-5.55
2015-11-29,1.46,-2.94
2015-11-30,0.83,-1.98
2015-12-01,-0.08,-8.69
2015-12-02,1.23,-5.81
2015-12-03,2.83,-8.08
2015-12-04,6.8,-6.61
2015-12-05,7.28,-1.37
2015-12-06,6.69,-0.53
2015-12-07,8.64,-2.36
2015-12-08,7.51,0.89
2015-12-09,9.75,1.94
2015-12-10,13.75,3.06
2015-12-11,8.95,0.6
2015-12-12,8.92,4.09
2015-12-13,12.2,6.17
2015-12-14,6.05,-0.06
2015-12-15,5.37,0.93
2015-12-16,6.38,-3.53
2015-12-17,1.56,-5.2
2015-12-18,0.94,-6.86
2015-12-19,2.82,-9.29
2015-12-20,6.35,-0.05
2015-12-21,2.78,-4.54
2015-12-22,4.72,-4.39
2015-12-23,6.58,-2.4
2015-12-24,2.56,-4.49
2015-12-25,1.52,-3.76
2015-12-26,1.62,-1.47
2015-12-27,-0.23,-6.43
2015-12-28,-2.71,-6.4
2015-12-29,-3.26,-8.21
2015-12-30,-2.07,-7.51
2015-12-31,-3.0,-14.12
2016-01-01,0.44,-11.57
2016-01-02,0.73,-12.77
2016-01-03,-2.91,-13.51
2016-01-04,-3.08,-12.45
2016-01-05,0.71,-11.22
2016-01-06,0.71,-3.85
2016-01-07,1.37,-0.81
2016-01-08,1.49,-6.05
2016-01-09,-7.02,-19.72
2016-01-10,-13.18,-23.49
2016-01-11,-4.47,-13.12
2016-01-12,-7.34,-18.25
2016-01-13,1.54,-16.6
2016-01-14,5.97,-2.56
2016-01-15,-2.63,-13.32
2016-01-16,-8.42,-16.68
2016-01-17,-15.78,-23.27
2016-01-18,-12.67,-18.56
2016-01-19,-9.78,-15.3
2016-01-20,-2.56,-14.02
2016-01-21,-2.77,-8.78
2016-01-22,-3.8,-10.17
2016-01-23,-3.38,-10.72
2016-01-24,1.65,-6.38
2016-01-25,0.14,-4.32
2016-01-26,-0.8,-7.33
2016-01-27,3.48,-9.52
2016-01-28,3.58,-4.82
2016-01-29,6.81,-6.51
2016-01-30,6.27,-1.08
2016-01-31,7.82,-1.1
2016-02-01,7.64,-2.99
2016-02-02,3.06,-1.27
2016-02-03,-1.27,-9.83
2016-02-04,1.95,-9.7
2016-02-05,-2.14,-9.03
2016-02-06,3.83,-6.09
2016-02-07,6.28,-2.28
2016-02-08,-3.23,-9.72
2016-02-09,-6.14,-13.11
2016-02-10,-5.08,-13.22
2016-02-11,-4.96,-14.78
2016-02-12,-5.11,-15.68
2016-02-13,-8.24,-16.0
2016-02-14,-2.82,-9.79
2016-02-15,6.27,-5.97
2016-02-16,3.97,-3.53
2016-02-17,4.32,-3.48
2016-02-18,11.09,-2.22
2016-02-19,15.3,5.44
2016-02-20,12.8,-0.36
2016-02-21,8.2,-2.03
2016-02-22,6.6,-2.16
2016-02-23,7.73,-1.6
2016-02-24,4.61,-3.5
2016-02-25,3.1,-4.23
2016-02-26,7.72,-3.97
2016-02-27,17.13,-1.63
2016-02-28,11.9,-2.58
2016-02-29,11.45,-2.56
2016-03-01,-1.98,-6.3
2016-03-02,2.93,-6.26
2016-03-03,4.43,-2.3
2016-03-04,6.83,-3.31
2016-03-05,8.21,-2.04
2016-03-06,14.97,-1.21
2016-03-07,19.31,9.12
2016-03-08,20.35,8.36
2016-03-09,11.62,2.38
2016-03-10,15.36,2.36
2016-03-11,18.8,1.69
2016-03-12,11.02,1.46
2016-03-13,13.01,6.71
2016-03-14,20.35,7.4
2016-03-15,17.14,5.16
2016-03-16,13.57,1.15
2016-03-17,13.1,-0.86
2016-03-18,6.44,-2.6
2016-03-19,2.48,-2.69
2016-03-20,7.39,-2.97
2016-03-21,14.23,-2.98
2016-03-22,14.51,6.3
2016-03-23,8.98,1.83
2016-03-24,5.41,-1.74
2016-03-25,11.66,-3.75
2016-03-26,9.33,1.95
2016-03-27,10.53,-1.28
2016-03-28,16.15,-2.53
2016-03-29,17.23,2.11
2016-03-30,17.95,7.4
2016-03-31,12.19,3.76
2016-04-01,8.6,-1.36
2016-04-02,7.62,-2.08
2016-04-03,23.7,-0.51
2016-04-04,11.12,-0.12
2016-04-05,11.9,0.32
