Date,Max_Temp_C,Min_Temp_C
2015-11-27,-3.51,-5.43
2015-11-28,-1.99,-6.01
2015-11-29,-0.4,-4.47
2015-11-30,0.6,-7.26
2015-12-01,1.85,-7.46
2015-12-02,2.65,-5.76
2015-12-03,2.73,-6.75
2015-12-04,4.47,-4.79
2015-12-05,8.42,1.3
2015-12-06,12.2,-0.02
2015-12-07,12.86,-0.98
2015-12-08,16.78,0.45
2015-12-09,18.87,2.85
2015-12-10,17.08,5.81
2015-12-11,16.12,4.64
2015-12-12,8.99,0.71
2015-12-13,4.02,0.4
2015-12-14,5.42,-1.41
2015-12-15,11.17,-3.2
2015-12-16,4.18,-4.65
2015-12-17,-1.51,-6.14
2015-12-18,5.63,-6.48
2015-12-19,8.13,-2.96
2015-12-20,13.01,-0.45
2015-12-21,2.5,-3.34
2015-12-22,13.24,-0.94
2015-12-23,7.88,-0.02
2015-12-24,8.01,-1.46
2015-12-25,6.73,-2.56
2015-12-26,6.34,-4.19
2015-12-27,-3.19,-6.2
2015-12-28,-2.52,-7.22
2015-12-29,-0.67,-8.88
2015-12-30,0.78,-6.44
2015-12-31,2.72,-7.51
2016-01-01,4.39,-8.62
2016-01-02,6.19,-7.51
2016-01-03,4.25,-6.04
2016-01-04,0.88,-6.67
2016-01-05,2.91,-7.13
2016-01-06,2.87,-0.66
2016-01-07,2.85,-0.03
2016-01-08,2.76,-2.86
2016-01-09,-2.33,-12.63
2016-01-10,-0.39,-15.02
2016-01-11,5.68,-4.9
2016-01-12,1.99,-4.37
2016-01-13,9.79,-5.09
2016-01-14,11.48,-1.2
2016-01-15,4.55,-3.1
2016-01-16,3.11,-4.08
2016-01-17,-4.42,-11.15
2016-01-18,-0.29,-10.15
2016-01-19,-0.32,-5.69
2016-01-20,-0.61,-6.25
2016-01-21,-0.19,-5.49
2016-01-22,-1.35,-6.13
2016-01-23,3.42,-6.5
2016-01-24,4.84,-1.97
2016-01-25,3.33,-2.89
2016-01-26,5.65,-4.78
2016-01-27,9.12,-4.41
2016-01-28,12.16,-0.31
2016-01-29,15.07,-0.93
2016-01-30,12.76,-0.78
2016-01-31,10.7,0.28
2016-02-01,8.46,-1.19
2016-02-02,1.81,-3.52
2016-02-03,1.23,-6.45
2016-02-04,4.86,-8.39
2016-02-05,5.8,-3.44
2016-02-06,8.65,-4.56
2016-02-07,10.0,-1.6
2016-02-08,4.61,-2.63
2016-02-09,3.49,-3.5
2016-02-10,17.9,-3.05
2016-02-11,7.93,-3.54
2016-02-12,5.01,-4.83
2016-02-13,4.21,-5.67
2016-02-14,12.82,-4.54
2016-02-15,14.5,-0.64
2016-02-16,11.01,1.6
2016-02-17,17.65,0.64
2016-02-18,25.27,5.78
2016-02-19,19.68,7.63
2016-02-20,19.56,4.61
2016-02-21,13.66,1.71
2016-02-22,12.51,-1.07
2016-02-23,9.37,-1.02
2016-02-24,12.32,-4.0
2016-02-25,6.82,-3.9
2016-02-26,15.65,-3.9
2016-02-27,21.88,0.77
2016-02-28,16.96,5.08
2016-02-29,20.93,2.48
2016-03-01,10.14,-1.94
2016-03-02,15.44,0.14
2016-03-03,14.06,1.68
2016-03-04,19.76,0.77
2016-03-05,19.6,2.95
2016-03-06,22.46,7.79
2016-03-07,24.36,11.95
2016-03-08,15.65,8.34
2016-03-09,15.42,4.53
2016-03-10,20.88,2.68
2016-03-11,20.78,5.44
2016-03-12,19.5,7.73
2016-03-13,15.91,8.93
2016-03-14,24.94,7.11
2016-03-15,18.03,3.14
2016-03-16,14.6,2.31
2016-03-17,17.92,1.11
2016-03-18,4.28,-2.39
2016-03-19,7.32,-4.42
2016-03-20,9.15,-4.41
2016-03-21,21.21,-1.84
2016-03-22,26.26,6.58
2016-03-23,21.98,1.44
2016-03-24,11.96,0.0
2016-03-25,17.02,-0.77
2016-03-26,13.78,1.88
2016-03-27,14.12,-0.55
2016-03-28,19.02,0.39
2016-03-29,18.59,7.22
2016-03-30,24.05,8.19
2016-03-31,16.14,3.5
2016-04-01,11.07,0.15
2016-04-02,20.2,-0.57
2016-04-03,26.28,6.1
2016-04-04,22.98,7.97
2016-04-05,27.34,9.21
2016-04-06,19.23,9.69
2016-04-07,19.14,5.42
2016-04-08,21.31,3.16
2016-04-09,23.4,2.45
2016-04-10,24.27,9.99
2016-04-11,15.13,3.98
2016-04-12,19.42,1.16
2016-04-13,22.71,5.29
2016-04-14,23.22,9.06
2016-04-15,24.27,10.12
2016-04-16,22.68,14.22
2016-04-17,17.68,8.65
2016-04-18,18.05,6.63
2016-04-19,20.22,4.69
2016-04-20,19.25,6.12
2016-04-21,21.77,7.08
2016-04-22,22.44,7.09
2016-04-23,26.45,9.01
2016-04-24,26.47,13.52
2016-04-25,25.16,12.16
2016-04-26,26.94,13.62
2016-04-27,17.1,6.08
2016-04-28,18.29,3.66
2016-04-29,13.57,6.99
2016-04-30,12.73,4.53
2016-05-01,14.27,2.95
2016-05-02,17.9,5.06
2016-05-03,21.73,5.05
2016-05-04,22.55,8.76
2016-05-05,26.75,8.82
2016-05-06,27.99,9.9
2016-05-07,28.55,12.97
2016-05-08,23.59,13.85
2016-05-09,26.42,13.55
2016-05-10,29.51,11.58
2016-05-11,23.48,10.78
2016-05-12,24.01,8.71
2016-05-13,28.05,8.39
2016-05-14,16.75,5.42
2016-05-15,18.41,6.01
2016-05-16,14.87,8.52
2016-05-17,18.41,7.85
2016-05-18,20.69,7.54
2016-05-19,18.52,8.83
2016-05-20,21.54,9.46
2016-05-21,23.42,12.18
2016-05-22,24.95,16.05
2016-05-23,24.03,19.96
2016-05-24,26.64,19.2
2016-05-25,29.53,18.93
2016-05-26,29.39,19.01
2016-05-27,23.64,15.75
2016-05-28,24.98,13.3
2016-05-29,28.45,14.19
2016-05-30,27.51,16.24
2016-05-31,24.12,16.18
2016-06-01,25.73,14.47
2016-06-02,27.76,15.22
2016-06-03,28.87,14.21
