Date,Max_Temp_C,Min_Temp_C
2015-11-27,30.03,17.97
2015-11-28,27.07,19.33
2015-11-29,29.11,20.45
2015-11-30,29.19,20.31
2015-12-01,25.98,18.15
2015-12-02,27.31,19.15
2015-12-03,27.39,19.15
2015-12-04,26.86,18.18
2015-12-05,27.5,19.96
2015-12-06,27.32,19.65
2015-12-07,26.99,20.45
2015-12-08,28.06,19.36
2015-12-09,28.04,20.41
2015-12-10,26.46,20.2
2015-12-11,27.78,19.6
2015-12-12,28.73,20.29
2015-12-13,26.26,20.11
2015-12-14,28.31,18.84
2015-12-15,28.66,19.83
2015-12-16,25.84,18.93
2015-12-17,27.48,19.67
2015-12-18,28.85,19.14
2015-12-19,28.09,20.65
2015-12-20,27.1,19.13
2015-12-21,26.06,18.94
2015-12-22,28.34,18.67
2015-12-23,28.82,18.79
2015-12-24,29.66,20.13
2015-12-25,26.36,20.81
2015-12-26,24.46,19.96
2015-12-27,26.87,19.27
2015-12-28,24.56,19.96
2015-12-29,24.45,19.33
2015-12-30,27.03,18.24
2015-12-31,26.77,19.36
2016-01-01,26.03,20.2
2016-01-02,26.72,19.69
2016-01-03,26.23,19.27
2016-01-04,27.53,17.34
2016-01-05,27.51,16.39
2016-01-06,28.36,16.31
2016-01-07,25.51,16.9
2016-01-08,28.87,18.62
2016-01-09,28.37,20.95
2016-01-10,25.47,20.5
2016-01-11,25.35,20.69
2016-01-12,25.71,20.65
2016-01-13,27.83,20.68
2016-01-14,25.75,21.22
2016-01-15,26.67,21.3
2016-01-16,26.18,18.17
2016-01-17,25.88,16.57
2016-01-18,25.15,16.91
2016-01-19,25.1,17.98
2016-01-20,25.75,17.71
2016-01-21,28.79,17.19
2016-01-22,28.28,15.37
2016-01-23,28.32,16.47
2016-01-24,25.51,18.85
2016-01-25,26.91,18.68
2016-01-26,30.09,20.02
2016-01-27,28.98,20.36
2016-01-28,25.21,20.91
2016-01-29,23.43,20.16
2016-01-30,28.03,19.46
2016-01-31,28.66,17.52
2016-02-01,29.18,17.23
2016-02-02,30.01,18.2
2016-02-03,29.26,19.85
2016-02-04,29.6,18.64
2016-02-05,29.38,18.32
2016-02-06,25.9,20.96
2016-02-07,27.37,19.6
2016-02-08,26.44,19.86
2016-02-09,29.07,18.61
2016-02-10,30.12,18.69
2016-02-11,26.58,20.82
2016-02-12,28.2,19.34
2016-02-13,28.75,19.57
2016-02-14,29.24,20.41
2016-02-15,26.29,21.16
2016-02-16,25.5,20.95
2016-02-17,27.88,20.76
2016-02-18,27.3,19.87
2016-02-19,27.52,20.38
2016-02-20,27.47,19.89
2016-02-21,25.39,20.02
2016-02-22,26.06,19.52
2016-02-23,25.35,19.28
2016-02-24,26.61,18.22
2016-02-25,26.13,18.53
2016-02-26,28.44,18.48
2016-02-27,27.27,19.8
2016-02-28,27.66,19.64
2016-02-29,25.98,18.84
2016-03-01,25.46,17.12
2016-03-02,23.54,18.97
2016-03-03,24.65,19.08
2016-03-04,25.46,19.5
2016-03-05,24.67,19.43
2016-03-06,27.16,19.14
2016-03-07,26.58,19.33
2016-03-08,27.49,20.26
2016-03-09,27.28,18.99
2016-03-10,26.4,19.0
2016-03-11,24.71,20.16
2016-03-12,27.67,20.44
2016-03-13,27.7,19.44
2016-03-14,27.57,17.26
2016-03-15,26.42,18.35
2016-03-16,25.04,18.08
2016-03-17,25.84,18.28
2016-03-18,26.98,17.27
2016-03-19,28.43,17.7
2016-03-20,27.67,17.6
2016-03-21,27.15,18.53
2016-03-22,28.54,17.64
2016-03-23,27.29,19.67
2016-03-24,25.72,18.92
2016-03-25,26.54,19.15
2016-03-26,24.44,18.98
2016-03-27,25.65,18.88
2016-03-28,27.38,18.75
2016-03-29,25.4,20.0
2016-03-30,27.49,19.26
2016-03-31,25.76,18.39
2016-04-01,27.25,17.57
2016-04-02,27.49,17.95
2016-04-03,28.88,16.53
2016-04-04,28.97,18.0
2016-04-05,27.23,16.89
2016-04-06,26.98,16.06
2016-04-07,28.29,16.43
2016-04-08,29.15,16.65
2016-04-09,29.08,15.61
2016-04-10,28.99,15.43
2016-04-11,27.68,17.65
2016-04-12,27.64,17.26
2016-04-13,27.51,16.49
2016-04-14,27.53,17.05
2016-04-15,28.45,16.25
2016-04-16,28.2,15.06
2016-04-17,28.46,16.82
2016-04-18,28.12,17.21
2016-04-19,27.48,17.47
2016-04-20,27.55,16.88
2016-04-21,26.75,16.42
2016-04-22,28.71,17.03
2016-04-23,27.75,16.41
2016-04-24,27.79,15.64
2016-04-25,28.15,15.6
2016-04-26,26.85,18.27
2016-04-27,22.99,15.32
2016-04-28,23.77,13.57
2016-04-29,18.86,14.27
2016-04-30,23.58,12.02
2016-05-01,22.68,9.86
2016-05-02,23.2,7.94
2016-05-03,24.78,10.71
2016-05-04,25.48,11.53
2016-05-05,25.65,12.16
2016-05-06,25.63,12.33
2016-05-07,26.3,13.4
2016-05-08,26.98,14.58
2016-05-09,27.5,16.29
2016-05-10,27.36,15.62
2016-05-11,26.2,16.05
2016-05-12,26.13,16.79
2016-05-13,24.01,14.73
2016-05-14,23.75,14.43
2016-05-15,25.22,13.16
2016-05-16,27.48,14.61
2016-05-17,26.51,17.7
2016-05-18,26.33,15.86
2016-05-19,26.51,15.34
2016-05-20,26.77,14.77
2016-05-21,25.53,15.49
2016-05-22,27.55,15.01
2016-05-23,25.5,13.41
2016-05-24,23.32,7.83
2016-05-25,24.38,11.41
2016-05-26,24.03,12.86
2016-05-27,24.96,12.21
2016-05-28,24.67,13.09
2016-05-29,24.95,13.05
2016-05-30,25.67,13.59
2016-05-31,25.37,14.54
2016-06-01,25.51,16.24
2016-06-02,23.86,16.57
2016-06-03,22.12,16.96
2016-06-04,22.25,16.44
2016-06-05,26.15,16.46
2016-06-06,27.0,17.82
2016-06-07,22.0,15.82
2016-06-08,19.95,13.68
2016-06-09,20.25,9.47
2016-06-10,22.19,8.6
2016-06-11,19.73,7.96
2016-06-12,19.04,5.54
2016-06-13,20.12,4.72
2016-06-14,21.07,6.57
2016-06-15,21.94,7.67
2016-06-16,23.15,8.35
2016-06-17,23.6,8.17
2016-06-18,24.57,10.32
2016-06-19,24.16,9.48
2016-06-20,24.05,8.16
2016-06-21,22.96,10.43
2016-06-22,22.51,12.03
2016-06-23,23.57,13.07
2016-06-24,24.09,11.9
2016-06-25,23.24,11.74
2016-06-26,22.11,11.25
2016-06-27,22.37,9.99
2016-06-28,23.51,10.63
2016-06-29,24.25,11.58
2016-06-30,23.64,11.24
